Bisection method: f(x) = e^x - 3xcos(2x) - 8.3
[ 1] c=0.000000000000000; a=-2.0000000000; b=2.0000000000
[ 2] c=1.000000000000000; a=0.0000000000; b=2.0000000000
[ 3] c=1.500000000000000; a=1.0000000000; b=2.0000000000
[ 4] c=1.250000000000000; a=1.0000000000; b=1.5000000000
[ 5] c=1.375000000000000; a=1.2500000000; b=1.5000000000
[ 6] c=1.437500000000000; a=1.3750000000; b=1.5000000000
[ 7] c=1.406250000000000; a=1.3750000000; b=1.4375000000
[ 8] c=1.421875000000000; a=1.4062500000; b=1.4375000000
[ 9] c=1.429687500000000; a=1.4218750000; b=1.4375000000
[10] c=1.433593750000000; a=1.4296875000; b=1.4375000000
[11] c=1.431640625000000; a=1.4296875000; b=1.4335937500
[12] c=1.430664062500000; a=1.4296875000; b=1.4316406250
[13] c=1.430175781250000; a=1.4296875000; b=1.4306640625
[14] c=1.429931640625000; a=1.4296875000; b=1.4301757812
[15] c=1.430053710937500; a=1.4299316406; b=1.4301757812
[16] c=1.429992675781250; a=1.4299316406; b=1.4300537109
[17] c=1.430023193359375; a=1.4299926758; b=1.4300537109
[18] c=1.430038452148438; a=1.4300231934; b=1.4300537109
[19] c=1.430030822753906; a=1.4300231934; b=1.4300384521
[20] c=1.430027008056641; a=1.4300231934; b=1.4300308228
[21] c=1.430028915405273; a=1.4300270081; b=1.4300308228
[22] c=1.430027961730957; a=1.4300270081; b=1.4300289154
[23] c=1.430028438568115; a=1.4300279617; b=1.4300289154
[24] c=1.430028200149536; a=1.4300279617; b=1.4300284386
[25] c=1.430028319358826; a=1.4300282001; b=1.4300284386
[26] c=1.430028259754181; a=1.4300282001; b=1.4300283194
[27] c=1.430028229951859; a=1.4300282001; b=1.4300282598
[28] c=1.430028215050697; a=1.4300282001; b=1.4300282300
[29] c=1.430028207600117; a=1.4300282001; b=1.4300282151
[30] c=1.430028203874826; a=1.4300282001; b=1.4300282076
[31] c=1.430028205737472; a=1.4300282039; b=1.4300282076
[32] c=1.430028206668794; a=1.4300282057; b=1.4300282076
[33] c=1.430028206668794; a=1.4300282057; b=1.4300282067
False Position method: f(x) = e^x - 3xcos(2x) - 8.3
